time;V(V_tia);
0.00800772;1.03487;
0.00800773;1.03487;
0.00800773;1.03487;
0.00800774;1.03487;
0.00800774;1.03487;
0.00800774;1.03487;
0.00800775;1.03487;
0.00800775;1.03487;
0.00800776;1.03487;
0.00800776;1.03487;
0.00800777;1.03487;
0.00800778;1.03487;
0.00800778;1.03487;
0.00800779;1.03488;
0.0080078;1.03488;
0.00800782;1.03488;
0.00800784;1.03488;
0.00800787;1.03488;
0.00800794;1.03488;
0.00800807;1.03487;
0.00800833;1.03483;
0.00800878;1.03464;
0.00800925;1.03433;
0.00800964;1.03399;
0.00800994;1.03368;
0.00801029;1.03329;
0.00801058;1.03293;
0.00801091;1.0325;
0.00801142;1.03183;
0.00801211;1.03091;
0.00801298;1.02985;
0.00801369;1.02914;
0.00801445;1.0286;
0.00801515;1.02832;
0.00801612;1.0283;
0.00801712;1.02868;
0.00801812;1.02938;
0.00801887;1.03003;
0.00801954;1.03064;
0.00802021;1.03124;
0.00802095;1.03182;
0.0080219;1.0324;
0.0080229;1.03274;
0.00802349;1.03279;
0.00802415;1.03272;
0.00802479;1.03254;
0.00802547;1.03225;
0.00802635;1.03177;
0.00802735;1.03116;
0.00802835;1.03057;
0.00802918;1.03016;
0.0080299;1.0299;
0.00803071;1.02974;
0.0080316;1.02971;
0.0080326;1.02987;
0.0080336;1.03017;
0.00803449;1.03053;
0.00803546;1.03094;
0.00803634;1.03128;
0.00803734;1.03159;
0.00803834;1.03176;
0.00803934;1.0318;
0.00804034;1.03171;
0.00804134;1.0315;
0.00804234;1.03124;
0.00804334;1.03095;
0.00804434;1.03069;
0.00804534;1.03049;
0.00804634;1.03039;
0.00804734;1.03038;
0.00804834;1.03046;
0.00804934;1.03061;
0.00805034;1.03079;
0.00805134;1.03099;
0.00805234;1.03116;
0.00805334;1.03128;
0.00805434;1.03135;
0.00805534;1.03134;
0.00805634;1.03128;
0.00805734;1.03117;
0.00805834;1.03104;
0.00805934;1.03091;
0.00806034;1.03079;
0.00806134;1.03072;
0.00806234;1.03068;
0.00806334;1.03069;
0.00806434;1.03074;
0.00806534;1.03082;
0.00806634;1.03091;
0.00806734;1.031;
0.00806834;1.03107;
0.00806934;1.03112;
0.00807034;1.03114;
0.00807134;1.03113;
0.00807234;1.03109;
0.00807334;1.03103;
0.00807434;1.03097;
0.00807534;1.03091;
0.00807634;1.03086;
0.00807734;1.03083;
0.00807834;1.03083;
0.00807934;1.03084;
0.00808034;1.03087;
0.00808134;1.0309;
0.00808234;1.03095;
0.00808334;1.03099;
0.00808434;1.03102;
0.00808534;1.03104;
0.00808634;1.03104;
0.00808734;1.03103;
0.00808834;1.03101;
0.00808934;1.03098;
0.00809034;1.03095;
0.00809134;1.03093;
0.00809234;1.03091;
0.00809334;1.0309;
0.00809434;1.03089;
0.00809534;1.0309;
0.00809634;1.03092;
0.00809734;1.03094;
0.00809834;1.03096;
0.00809934;1.03097;
0.00810034;1.03099;
0.00810134;1.03099;
0.00810234;1.03099;
0.00810334;1.03099;
0.00810434;1.03097;
0.00810534;1.03096;
0.00810634;1.03095;
0.00810734;1.03094;
0.00810834;1.03093;
0.00810934;1.03093;
0.00811034;1.03093;
0.00811134;1.03093;
0.00811234;1.03094;
0.00811334;1.03095;
0.00811434;1.03096;
0.00811534;1.03097;
0.00811634;1.03097;
0.00811734;1.03097;
0.00811834;1.03097;
0.00811934;1.03097;
0.00812034;1.03096;
0.00812134;1.03095;
0.00812234;1.03095;
0.00812334;1.03094;
0.00812434;1.03094;
0.00812534;1.03094;
0.00812634;1.03094;
0.00812734;1.03094;
0.00812834;1.03095;
0.00812934;1.03095;
0.00813034;1.03096;
0.00813134;1.03096;
0.00813234;1.03096;
0.00813334;1.03096;
0.00813434;1.03096;
0.00813534;1.03096;
0.00813634;1.03096;
0.00813734;1.03095;
0.00813834;1.03095;
0.00813934;1.03095;
0.00814034;1.03095;
0.00814134;1.03095;
0.00814234;1.03095;
0.00814334;1.03095;
0.00814434;1.03095;
0.00814534;1.03095;
0.00814634;1.03096;
0.00814734;1.03096;
0.00814834;1.03096;
0.00814934;1.03096;
0.00815034;1.03096;
0.00815134;1.03096;
0.00815234;1.03095;
